comment,rating
"Stuntman turned writer/director Chad Stahelski struck gold with his 2014 surprise hit John Wick. It was somewhat of a comeback for the legendary Keanu Reeves and reinvigorated the action genre. Since then it's become THE action juggernaut franchise. Now we are on number 4 and while usually things get redone with that amount of sequels, this film innovates and thrills to new heights in an absolute epic.

One of the most surprising aspects of this particular entry, is the story being written as well as it is. Something that is hard to come by in the genre at times. Not saying the others in the franchise weren't but this is easily the best story diving deeper in the high table aspects as well as John Wick's true emotions . The rich characterization is also at its best with outstanding additions like Skaarsgard, and even more screen time for supporting greats like Fishburne to compliment the magnificent Reeves. RIP Lance Reddick. It's nice to have such substance amongst the endless high octane ballistic visuals.

Speaking of ballistic, this movie goes more all out than any I've seen for insanely well crafted choreographed shootout and fight scenes. Just when you thought you've seen it all, Stahelski/Reeves prove their action minds are ever evolving. These guys were born to make action movies together.

The extremely vibrant colors and plethora of locations is also a feast for the eyes. The sharp atmospheric imagery creates the ultimate backdrop for not only the action but also just the dialogue. The sound is also top notch and perfectly compliments the intensity. It's just an absolute sensory journey that you don't get in too many action films aside from the Wick genre.

Overall the limitless and outrageous action alone is nothing like we've seen before for the genre or just cinema in general . But also this rich unique story may only build Wick's timeless character for more films in the future which at this momentum will be welcomed.",1
"In this fourth installment of 8711's successful franchise, Keanu Reeves wearily drags himself from setpiece to setpiece, saying little, surviving the most ridiculous setups and finally achieves nothing.

The acting and writing of JOHN WICK: CHAPTER 4 are indeed the worst aspects of this film, and the exaggerated runtime of almost three hours doesn't help.

Try to remember John Wick's motivation to do all the things he does. What exactly is he actually doing, escpecially in this one? In addition to a lack of motivation, Chapter 4 is a remarkable retcon in the sense that John Wick could have ended the hunt for his person way earlier, thus making at least the last two installments redundant.

There's plenty of action here, sure, but it has been getting more and more unrealistic, and so you'll be in a situation where your suspension of disbelief says bye-bye, especially when you contrast the growing ridiculousness of the action with John Wick's decreasing vigour.

The plot has some toddler level plot holes and contrivances which are really distracting, yes, even in an action no-brainer like this. Keanu Reeves has maybe ten lines of dialogue in the whole movie. The Marquis is a nonsense character, just like Donnie Yen's Caine character. They just appear, but especially in Caine's case you're supposed to be emotional about it because he's basically John Wick's brother from another mother. We just never knew about him. Oh well.

This is the definition of a dumb movie for dumb people, and if you just want to enjoy some nice shots and over-the-top action (some of which is really nice) AND love Keanu Reeves, this is your jam. If you need a bare minimum of consistency and structure, you might feel cheated.",0
"In my opinion this is by far the worst movie of the franchise. It's just way too over the top. Everybody seems to have magical jackets now to stop the bullets.

Audience loved the dogs on the third one so that just lazily copied one here also but didn't bother to have any real cool scenes with it.

I'm happy they made John Wick 1 but since then every movie getting worse and worse. This one was already so bad that I regret spending any money to see it.

People shooting and dying in center of Paris but police doesn't seem to care.

John Wick getting shot, falling from great heights etc without any issues.",0
"John Wick: Chapter 4 picks up where Chapter 3: Parabellum left off. As has been the tradition in the sequels to this beloved martial arts action franchise the action starts from the very inception of the film's opening, and lasts until the curtain falls. JW4 is no exception to that rule. What it does do is improve on the prior installment, and solidify Keanu Reeves as the greatest martial arts action star of all time. If you don't accept that notion, then you must accept the fact that it solidifies Reeves and Director, Chad Stahelski, as the greatest martial arts action pairing of modern times.

The film opens in New York City, the home of the notorious Continental Hotel, and takes us to Osaka Japan, Paris France, and Berlin Germany. Each of those cities plays a major role in Reeves' quest to seek revenge against the High Table for the acts outlined in the prior films, and to seek his unconditional freedom from service to their order.

As the story unfolds we learn a bit more about Wick's past and upbringing than we did in the prior films, but not enough to get bogged down in. He uses his connections to his past, and the help of some old friends to find a path to level the playing field with the High Table's Emissary, The Marquis, played masterfully by Bill Skarsg?rd. Skarsg?rd makes the character memorable, and unique, with just a hint of Santino from the second installment.

Keanu Reeves as John Wick in John Wick 4. Photo Credit: Murray Close Hiroyuki Sanada and Reeves are reunited, having starred in 47 Ronin together. Sanada, as is always the case, is a strong presence in the film and makes the most of every scene he is in. He is a great addition to the film. The Osaka Continental fight scenes are groundbreaking, and among the best and most exciting in the entire series. This is some of the best fight and action choreography you will see; only topped by other scenes in this same movie.

Scott Adkins plays an unusually larger than life villain adeptly. The action and violence around the Berlin scenes involving his character, and his relationship to Reeves' past is fun to watch. Adkins is great to watch, whether starring in his own projects, or supporting, as he is here.

Shamier Anderson and Clancy Brown are new to the series and add great value. Anderson as a cunning assassin conflicted between admiration and greed. Clancy Brown is a strong presence and welcome replacement in the role of Adjudicator. I found Asia Kate Dillon's version of the same character to be the weakest part of the prior film, and, perhaps, of the whole series.

Mark Zaror, another great martial artist also has a prominent role as The Marquis' right hand man.

Ian McShane and Laurence Fishburne return and offer more than just familiarity to the cast. Their roles are significant and meaningful.

Donnie Yen brings not only his skills as one of the finest martial arts movie stars in the world, but lends his presence as a charismatic and riveting figure. He plays the role of Caine with complexity and humanity that is a terrific mirror to Reeves' Wick; his friend and adversary by circumstance. This was a fantastic choice to take the Wick series to a new level.

Keanu Reeves continues to be engaging, empathetic, and dynamic in the role of John Wick. While the series has strayed a bit from the deeply reluctant anti-hero of the first film; we continue to cheer for the good guy caught up in a bad, bad world. One of the great strengths of the film is that Reeves and Stahelski are not afraid the let characters other than Wick shine. In fact, all of the stars of this one have their deeply profound and memorable moments in and out of the company of the main character. This really works.

As for the fight and action choreography. The stunt team at 87eleven continue to elevate the game. The film has three major, larger than life action sequences, that each, individually, outdo anything you will see in any other non John Wick movie. As mentioned previously, the Osaka and Berlin scenes were high energy, high body count affairs. They were complete with gun fights, sword mastery, gun play, and one of the best nunchuck displays you will ever see outside of a Bruce Lee movie. As for the scenes in Paris, at the Arc De Tripomphe, and on the Church steps, they are unlikely to be forgotten and, unlikely, to be topped for years to come, if ever. They are unique and exciting and violent feasts for the eyes.

While I have heard some say that John Wick: Chapter 4 is the best installment in the series I have to disagree, Nothing can top the original, in my opinion; however, Chapter 4 is a worthy installment for sure.

Will there be a Chapter 5 to the JohnWick saga? Remember, I said this was a Spoiler free review....

John Wick: Chapter 4 earns a 5 out of 5 star rating. It is worth seeing, and probably seeing again. I predict a significant box office gross for this one, and it is well deserved.",1
"No idea how the ratings are as high as they are. If you thought the first one was enjoyable but the 3rd one was bull, read on.

Just as the body count in the 3rd was ridiculous, this is even more absurd. Seems after coming up with the bullet proof suit the writers etc thought it a good idea to make sure everyone has one. These giant men sent to kill Wick all wearing suits, raising the jacket to protect their heads was a sight I found so funny. He's the best hitman on the world, how do we kill him? I know, we'll send a blind man!! Pathetic. And he can dodge bullets and he knows where everyone is. You could say it looked choreographed.

Now, about the DJ! They may have well cut the scenes directly from the Warriors. Better film, done better and that isn't a great film. For those of you who have never heard of the Warriors, go watch it. For those of you that have, skip this nonsense.",0
"Who needs a 2hr and 40 min action movie? No one. Yes the action was good, but repeats so many times that it becomes so boring. How can hundreds of assassins not kill one man? Answer, not possible, only in this movie and series. How many times could the dog man have killed Wick? Many. So no other assassin could? Why would the table head get Caine to kill Wick when he knows he won't. You can challenge the head to a duel as a rule, but they only assigned a head for the first time ever in this movie? WTF? And then the head can select a replacement? And he selects a blind man. All Wick had to do was to stand on the side or drop down and he wouldn't get shot. I think everyone knew Wick didn't shoot in the last round, except for the stupid head bad guy. This is not an action movie, it's a fantasy.",0
"Very much over rated. Repetitive, tiring and inauthentic fight choreography for 3 hrs straight. Unnatural and generic one liner filled script. No deep drama whatsoever. Just bland, perpetual killings till one is numb. Awful and fake seeming blood effects. Bland, cliched action hero.

All these characterize John Wick 4. These movies keep getting shallower with every sequel. The little soul the first two had is dead and buried here. I don't get the hype. John Wick has become like those generic action B movies with cliched scripts and characters. Not to forget the unlikable and uncharismatic addition, black guy with a dog. He was as dull as it gets.

Beautiful cinematography though. Loved some of the scenes except the CGI ones. A point for that I guess.",0
"I don't get why this movie has a high score, it doesn't deserve it. It's horrible, it doesn't make any sense, just killing people, but how can it be possible that those people after being shot many times, were able to fight as nothing happened to them? And the plot? Trying to kill John Wick in any way possible, period.

The worst thing is that they used some scenes from the movie The Warriors (1979), they didn't try to change anything, a black woman with nice big lips, talking on the radio, guiding the gangs with the purpose to chase and kill The Warriors. Same with John Wick, but of course with a modern technology. Shame on you! Didn't you have any better idea? You just copied an old movie that was much better than this one, and that soundtrack was great!

What a disappointment! It remembers somehow Kill Bill, but that movie was very good, this one is almost unacceptable!

I enjoyed the other movies about John Wick, they were very well done, and had a good plot. This time it seems like they didn't know what to write.

Not even the ending was good, is he really dead? We can't be sure, and probably there will be a John Wick 5, because something is missing. Anyway the fight against the thugs, before the last duel, was really bad... just a videogame.",0
"Indiana jones, terminator, predator, Jurassic park, the matrix, Jason bourne, etc. All amazing franchises but all share a common trait of having a bad or forgettable movie or 2 at some point. This is why john wick is the best action action movie franchise of all time; The movies just keep getting better and better. In john wick 4, when the action starts in Osaka Japan, it never let's up despite it's almost 3 hour running time. What I really enjoyed the most about JW4 is the cast of characters. Great villains and allies really keep this movie interesting as john trots the globe for 3 hours. The sound engineering, editing, direction, cinematography are excellent as always. The color schemes throughout this franchise (more john wick 2, 3 and especially 4) are such a treat for the eyeballs. Best action franchise EVER. And the shotgun fight in Paris with the ""dragons breath"" is the best action sequence I've probably ever seen in my life.",1
"May or may not count as a spoiler but John Wick pilled up more of a body count than Jason Vorhees sure different genre yet both great killing machines! Chad Staleski created such a great action extravaganza quad of films and one of my favorite trivia's he was the stunt doable for Keanu Reeves in the The Matrix back in the day; fast forward to 2014 they work together on one of the greatest action films of our generation. John Wick 4 is ultimate experience that is a must see I can't praise enough for how much fun it is.

I might get vibes for my thoughts I tried not to spoil it's obvious the combination of kill count has added up the rest left to the viewers, the action and writing is incredible for Chapter 4 that everyone involved deserves praise! I'd like to say too I own all the John Wick films and every Matrix, I'll get this in 4K when available.",1
So the second and 3rd john wick movies were blazing electric movies that took john wick to unbelievable levels. This 4th wick movie was water down and embaressingly woke with a corney addition to the wick roster of assasins. Kane somewhat saved the movie at times but the movie felt vague and amibiguous with endless fighting and wayy over the top action the that took wick to a level of absurdity and crossed over to ridiculous and clever or as cool as part 3. Thr crafty skills wernt on display in the same they were in the last 3 movie outside of one glorious overhead camera shot of wick blistering through a apartment building. This scene alone bumped this film up into the above average relm.,0
"I thought I remembered a less caricatural Keanu Reeves (""Yeaaah..."", ""I'll stay..."") and a more Nobody (2021)-like franchise but JW:C4 really felt like a bad ""kingsman"" mixed with an equally lousy Hotel Artemis (2018).

And why the sempiternal clich? of the Black supporting character, playing the janitor what's more, and being the first ""good guy"" to die for absolutely no reason?

Ok, let's review the clich?s, then:
Story? So clich?...
Cultural misrepresentation? Soo clich?...
Characters? Sooo clich?...
The sketchbook? Soooo clich?...
The dialogues? More than clich?...
The Bow-Vs-Assault-Riffle fight choreography? More more than clich?...
The Sumo-Vs-SWAT-guys fight choreography? More more more than clich?...
The Blind-Guy-Vs-Wall chorstumbleography? Unbearably ridiculous...
The Bullet-Proof-Tan-Business-Suit-Vs-Tiny-Knives fight choreography? More than unbearably ridiculous...
The Handgun-Vs-The-World fight choreography? Boring...",0
"...all at the same time. This hybrid comic book-video game has a stupid plot, worse than average acting, and fight scenes that are so poorly done you don't mind going to the bathroom. Don't get me wrong. I loved John Wick 1. Thought #2 was OK. Then came #3., It showed they were out of imagination and should have stopped with #2. Now with #4 they show that they are not artists or creatives but merely clowns looking for as buck.

It's not completely without value, which is why it got a 2 instead of a 1. The photography is beautiful and they have a dog as a hero. The rest is worthless. Save the money and the time.",0
"Unpopular Opinion - John Wick 4 is a below average movie.

I loved all 3 John wick movies, but this one is more likely a conclusion of John wick series, So the fight scenes are boring and repetitive. Previous movies had different types of action and stunt choreographies. This one has long same fights , might be in different locations.

As far Keanu goes, his close up shots or his face doesnt appear in the movie atleast for a half time. John wick past movies had few dialogues but it had an impact, 4 has same few dialogues but it was very plain and flat.

Ending is Spoiler - John Wick Dies (or not) shown in a way that if there is a possibility of a sequel , there can be.

May stunts shots and its accuracy is totally gone, we can clearly see that where the gun is aimed and it just went like a paper plane. Even with the so-called Coat Armour, some pistol shots were directly aimed at Head / Leg which was again repelled with the armor which is in the shoulder.

The sad thing is this is the same with Balayya movies, but when it directed and taken in Hollywood people go crazy!

An average movie 6/10.",1
"In a world where movie sequels seem to be loathed even before they are released, the 'John Wick' series has remained remarkably consistent and well received. In fact all three of the first films have the same IMDb rating of 7.4/10 and I noticed recently that I gave them all the same rating of 8/10. Incredibly, I think 'John Wick: Chapter 4' is the best the series has to offer. This movie was a wild ride.

I was a little disappointed when I first saw the runtime for this one was going to be almost 3 hours. I find that is becoming a tough runtime for a lot of films to justify. This film does it with no trouble. The pacing is so incredibly fast that the 3 hours pass by in no time. I remember looking down at my watch early in the film thinking maybe 20-25 minutes had gone by and almost an hour had already passed.

A large reason for this is the action sequences. When an action sequence starts in this film buckle in, because it is going to go for nearly 20-30 minutes and be non-stop craziness the for the duration.

The action sequences in this film are perfectly shot as they always are in this series. Lovely, wide camera angles so we can see every thing that happens and know that it isn't all being edited to look this way. These people are actually doing these things.

As always with these films you need to go in a rather incredible suspension of belief. Wick is nearing super-human level at this point. It doesn't matter how many cars you hit him with or how high the building he falls off is, he'll be back and fighting again 10 seconds later. It's best to switch your brain off at these points I have found.

Finally, I loved the main villain in this movie played excellently by Bill Skarsg?rd. He was everything a villain should be. Calm and seemingly in control, menacing and easy for the audience to hate and root against.

This film was a blast from start to finish. 9/10.",1
"We all walk into John Wick 4 with expectations of what we will see, standards we refuse to lower and excitement already creeping in. From the first second it engages you, no hesitation, no quarter. And it's only the beginning. I read somewhere that a reviewer had said that there wasn't a wasted moment in this film and I watched it questioning the validity. They weren't wrong. Each conversation has a purpose, each scene makes a point. From the gunfight samurai scene in Tokyo to the phosphorus gunfight shot from above in Paris, the action doesn't diminish. Normally a sequel is ""lesser"" but John Wick 4 simply builds onto the quadrilogy. It makes sense, it continues the story and the characters get all the more interesting.

I can tell you right now, if the phosphorus gunfight scene doesn't impress you (which it will), the Paris traffic carnage scene is brilliant. I can't say I have ever seen someone do full continuous 360 drifting in a muscle car either :D

I know Keanu said that Chad Stahelski and himself were taking a long break from the John Wick series but should we have seen the end, it ended on a note I feel we could live with. If they can find another story that will build onto the John Wick series then so be it but if not, I truly left the movie happy and felt it was done.

Don't leave until after the credits are done. Trust me, it's not finished.",1
"JOHN WICK: CHAPTER 4 (2023) ***1/2 Keanu Reeves, Laurence Fishburne, Ian McShane, Lance Reddick, Clancy Brown, Bill Skarsgard, Donnie Yen, Aimee Kwan, Hiroyuki Sanada, Shamier Anderson, Rina Sawayama. Reeves' indestructible titular assassin returns in full form in the latest (and arguably best) of the fast-hitting, brutally violent action franchise with the marker on his head increased by new foe Skarsgard (oily good at being the villain) and the countdown to his demise imminent worldwide. The set pieces are displayed with cunning skill and scary accuracy with pressure point precision and unnerving balletic grace. A *chef's kiss* for the wherewithal overall and a genre fan's wet dream fulfilled. It kills! (Dir: Chad Stahelski)",1
"Listen, this movie was far from as good as the others and had very little realism to it compared to the others. Numerous times John falls from like 4 stories up and gets up and walks it off. He also gets hit by cars numerous times and simply just walks it off. He also falls down 222 steps and gets up and walks it off. Where is the realism here?

Also, the acting was incredibly bad. Like really really bad. Laurence Fishborne going over the top and Keanu not saying much, but when he does he makes himself sound like he's having a stroke.

Adding the black assassin dude simply as the diversity hire was a weird choice. Like seriously, he was the only black dude. The dude was a complete wild card that you had no idea whose side he was on. He was trying to kill John, but also trying to save him? Also, he had a dog to help him. Didn't Halle Berry have the exact same gimmick in the last movie that did the same trick of going for the nuts?

And where was John's motivation for all of this? Why was he in Japan? Why did he kill the High Table person? Why wasn't this Marques person introduced sooner? Why was a blind assassin 20x better than any of the other assassins? And lastly, why did John go through allllll of that crap just to die at the end? To protect Winston? The dude who shot him off roof?

Overall, there was only a couple of good parts to the movie. Nothing that the other 3 movies hadn't done before.",0
